# N012. [NeuAc(a2-3) Gal(b1-4) GlcNAc(b1-2) Man(a1-3)] [[Man(a1-3)] [Man(a1-6)] Man(a1-6)] Man(b1-4) GlcNAc(b1-4) GlcNAc(b1-0)
# Deuterium
# Metal: Na
# Method: EED
# Permethylated
# Precursor: 2Na+ 1215.1034

m/z	z	I
877.91799	2+	5611005
877.93156	2+	5527434
878.45655	1+	13785927
878.92884	2+	12778972
879.37072	1+	38848504
879.4386	2+	16496638
879.91084	2+	13960739
883.37832	1+	62596824
885.39285	1+	13346236
885.43806	2+	16783722
886.42662	2+	10386474
888.3803	1+	47813480
889.41648	2+	8420735
892.43827	2+	13231814
892.47245	1+	10825436
893.434	2+	11692086
894.44232	2+	29887230
894.45522	2+	8652395
900.44229	2+	15992241
901.44908	2+	65014496
906.45341	1+	18777198
908.42991	2+	18169098
909.38325	1+	11640465
909.44643	2+	32420442
911.39672	1+	42051484
916.44587	1+	67806112
916.45527	2+	183888496
917.43362	2+	14504870
921.44103	1+	91909472
922.42711	2+	9912555
922.48294	1+	31996156
923.44553	2+	10982488
923.95481	2+	9364197
924.45191	2+	23903456
925.41404	2+	6821919
925.42399	1+	12655105
927.42929	2+	11177131
929.96082	2+	13763094
930.43615	2+	17925650
930.92769	2+	14511664
932.44944	2+	28607924
935.45834	1+	15274898
936.46524	2+	18926206
936.93174	2+	16155297
937.46919	2+	26514824
937.93593	2+	32495848
939.45713	2+	157738976
941.41537	1+	13588008
942.92721	2+	25063802
946.43459	2+	14477654
946.45551	1+	10580906
949.47383	2+	10630731
951.45442	2+	14195255
953.44418	2+	517547712
954.95337	1+	28559658
956.48631	1+	12309598
957.94517	2+	12710392
957.9745	2+	7234066
959.44407	2+	24659174
963.45064	1+	19098492
963.47272	2+	5129628
964.93355	2+	13378964
964.97784	2+	11057690
966.47335	2+	26750804
967.43752	1+	6461315
968.44655	2+	3968094
971.41722	1+	14410603
971.97649	2+	5066792
972.97934	2+	29228926
973.95683	2+	41522228
978.47404	2+	61401052
980.98242	2+	19704338
981.455	2+	16982418
981.99032	2+	10194704
983.47073	1+	18029956
983.98274	2+	18227036
985.43304	1+	837222912
986.95523	2+	5175672
987.98889	2+	25280404
989.47232	2+	35911992
990.48789	2+	14985132
992.48976	1+	11061799
993.46606	2+	26641990
993.5031	2+	10540248
995.98861	2+	37287092
997.44593	1+	17760478
997.49878	2+	53022764
999.4491	1+	13930142
1001.47831	2+	3959004
1001.9723	2+	5289161
1002.49338	2+	20054644
1003.49873	2+	278339360
1006.9685	2+	14595012
1007.45572	1+	10427674
1008.983	2+	15304083
1009.48267	2+	22265152
1011.49628	2+	155604944
1012.47646	1+	37832792
1015.4944	1+	15673762
1016.99394	2+	17184356
1017.47712	2+	12828750
1018.50426	2+	195668288
1019.99376	2+	20173660
1021.97112	2+	11570124
1022.97489	2+	31929988
1023.50871	1+	128116344
1024.98753	2+	77690264
1025.48795	1+	43299516
1026.50373	2+	79690216
1027.5093	2+	337185120
1029.47543	2+	15846063
1030.98125	2+	21616532
1032.48852	2+	34715908
1032.50374	2+	25755198
1035.4764	1+	22901332
1036.97968	2+	56429440
1037.48767	1+	40703808
1038.01308	2+	16593735
1038.98884	2+	39368852
1039.99665	2+	82851528
1041.47311	1+	51289724
1042.44579	1+	19424858
1043.48383	2+	36168032
1045.01731	2+	22624630
1046.49798	2+	33954552
1048.01079	2+	14667083
1051.00587	2+	13796823
1051.50275	2+	35416120
1052.49149	2+	29211464
1053.48256	1+	37175648
1053.51405	2+	57385804
1055.00086	2+	445556448
1058.4757	1+	58976788
1060.02262	2+	28399956
1060.49699	2+	168260432
1066.02205	1+	19684134
1066.51168	2+	98801832
1067.49911	2+	308595904
1067.51462	2+	136688880
1068.49922	1+	39796568
1069.52054	2+	73296216
1069.99555	2+	27812594
1075.02857	2+	183464096
1076.00688	2+	338579616
1082.03654	2+	196123904
1083.0215	2+	84707656
1084.51398	1+	58649100
1087.47816	1+	74878272
1090.03342	2+	158546128
1091.49147	1+	102796336
1093.48217	1+	29720972
1094.55868	1+	15935261
1095.84928	16+	4661803
1095.88152	20+	10284414
1097.04145	2+	228993296
1098.49418	1+	48210188
1098.53129	2+	19577496
1105.039	2+	102253560
1106.49533	1+	8026492
1109.50909	1+	10729390
1109.55919	1+	10691691
1110.0411	2+	21916196
1111.5196	2+	21003766
1112.06085	2+	22981284
1112.50722	1+	28163820
1113.03569	2+	39350180
1118.5374	2+	17532352
1119.04953	2+	24887502
1120.04327	2+	673626240
1125.04339	2+	47639336
1125.53952	2+	107937448
1125.5405	1+	25185470
1126.58295	1+	74204056
1128.50533	1+	16886974
1132.548	2+	16832562
1134.0595	2+	84492840
1139.55614	2+	44556204
1140.56356	1+	32508890
1141.06779	2+	144885280
1142.04455	2+	108349288
1147.069	2+	40996592
1148.05591	2+	34130456
1153.58563	1+	16231031
1154.06285	2+	22213596
1155.06503	2+	75801880
1155.0854	2+	55424664
1156.55331	2+	28579948
1161.06574	2+	60936696
1162.56092	2+	61803616
1162.57752	2+	158985696
1163.05778	2+	12365944
1167.60965	1+	24919048
1168.07771	2+	30245074
1168.95519	10+	8565352
1169.56336	1+	28207072
1170.09001	2+	295846688
1170.57064	2+	201688128
1175.06178	1+	17960880
1176.07393	2+	266885280
1178.08508	2+	1527252096
1182.57423	2+	39817200
1184.08727	2+	244100304
1185.07345	2+	178818096
1185.59857	2+	22636862
1188.58392	1+	14206089
1191.07647	2+	32687168
1192.08336	2+	623381824
1193.59243	2+	118399360
1198.08425	2+	23828552
1199.091	2+	1094568320
1201.07721	2+	13838185
1204.53167	1+	11056614
1207.08837	2+	299698752
1209.56044	1+	6400538
1211.59795	1+	24116696
1212.56019	1+	24897676
1214.09804	2+	697372608
1215.10338	2+	29843458048
1222.5451	1+	21667616
1223.59546	1+	17949706
1226.57724	1+	26522916
1231.57749	1+	17599366
1239.56723	1+	15487462
1240.59632	1+	18479248
1242.57189	1+	42471920
1244.58896	1+	51801952
1246.54181	1+	8871807
1254.57206	1+	18491094
1256.58703	1+	66642196
1258.60409	1+	47834104
1260.58305	1+	18794906
1265.63304	1+	5731427
1267.60366	1+	8857241
1270.56557	1+	17264962
1270.62748	1+	23940240
1272.58291	1+	54961216
1274.59769	1+	50319812
1284.6412	1+	35497676
1286.59963	1+	67560456
1287.66557	1+	19822054
1288.61315	1+	182018384
1295.66147	1+	4773798
1296.58035	1+	15802870
1298.6577	1+	38426748
1300.57806	1+	18381554
1300.63651	1+	32054686
1300.67317	1+	13348928
1300.85133	11+	4512620
1302.59328	1+	27252680
1302.65297	1+	33680736
1304.60883	1+	107781936
1314.65337	1+	53781856
1316.60205	1+	34456924
1316.66883	1+	92046984
1325.6708	1+	8940116
1326.0858	2+	8892191
1328.60262	1+	9812162
1328.66934	1+	37581168
1330.67863	1+	232567632
1332.60432	1+	69668000
1337.6059	1+	12084636
1344.66368	1+	65618604
1346.67768	1+	179879488
1352.66388	1+	32546712
1360.69169	1+	360916928
1368.66033	1+	32577932
1374.67394	1+	71394576
1376.68936	1+	380030976
1382.67696	1+	17042976
1385.69348	1+	26040778
1387.70674	1+	42282812
1390.66878	1+	36190800
1392.68169	1+	54894580
1398.67259	1+	13647455
1400.68529	1+	225669264
